step,plants_available,prey,predators,competitors
1168,200,0,0,0
1169,200,0,0,0
1170,200,0,0,0
1171,200,0,0,0
1172,200,0,0,0
1173,200,0,0,0
1174,200,0,0,0
1175,200,0,0,0
1176,200,0,0,0
1177,200,0,0,0
1178,200,0,0,0
1179,200,0,0,0
1180,200,0,0,0
1181,200,0,0,0
1182,200,0,0,0
1183,200,0,0,0
1184,200,0,0,0
1185,200,0,0,0
1186,200,0,0,0
1187,200,0,0,0
1188,200,0,0,0
1189,200,0,0,0
1190,200,0,0,0
1191,200,0,0,0
1192,200,0,0,0
1193,200,0,0,0
1194,200,0,0,0
1195,200,0,0,0
1196,200,0,0,0
1197,200,0,0,0
1198,200,0,0,0
1199,200,0,0,0
1200,200,0,0,0
1201,200,0,0,0
1202,200,0,0,0
1203,200,0,0,0
1204,200,0,0,0
1205,200,0,0,0
1206,200,0,0,0
1207,200,0,0,0
1208,200,0,0,0
1209,200,0,0,0
1210,200,0,0,0
1211,200,0,0,0
1212,200,0,0,0
1213,200,0,0,0
1214,200,0,0,0
1215,200,0,0,0
1216,200,0,0,0
1217,200,0,0,0
1218,200,0,0,0
1219,200,0,0,0
1220,200,0,0,0
1221,200,0,0,0
1222,200,0,0,0
1223,200,0,0,0
1224,200,0,0,0
1225,200,0,0,0
1226,200,0,0,0
1227,200,0,0,0
1228,200,0,0,0
1229,200,0,0,0
1230,200,0,0,0
1231,200,0,0,0
1232,200,0,0,0
1233,200,0,0,0
1234,200,0,0,0
1235,200,0,0,0
1236,200,0,0,0
1237,200,0,0,0
1238,200,0,0,0
1239,200,0,0,0
1240,200,0,0,0
1241,200,0,0,0
1242,200,0,0,0
1243,200,0,0,0
1244,200,0,0,0
1245,200,0,0,0
1246,200,0,0,0
1247,200,0,0,0
1248,200,0,0,0
1249,200,0,0,0
1250,200,0,0,0
1251,200,0,0,0
1252,200,0,0,0
1253,200,0,0,0
1254,200,0,0,0
1255,200,0,0,0
1256,200,0,0,0
1257,200,0,0,0
1258,200,0,0,0
1259,200,0,0,0
1260,200,0,0,0
1261,200,0,0,0
1262,200,0,0,0
1263,200,0,0,0
1264,200,0,0,0
1265,200,0,0,0
1266,200,0,0,0
1267,200,0,0,0
1268,200,0,0,0
1269,200,0,0,0
1270,200,0,0,0
1271,200,0,0,0
1272,200,0,0,0
1273,200,0,0,0
1274,200,0,0,0
1275,200,0,0,0
1276,200,0,0,0
1277,200,0,0,0
1278,200,0,0,0
1279,200,0,0,0
1280,200,0,0,0
1281,200,0,0,0
1282,200,0,0,0
1283,200,0,0,0
1284,200,0,0,0
1285,200,0,0,0
1286,200,0,0,0
1287,200,0,0,0
1288,200,0,0,0
1289,200,0,0,0
1290,200,0,0,0
1291,200,0,0,0
1292,200,0,0,0
1293,200,0,0,0
1294,200,0,0,0
1295,200,0,0,0
1296,200,0,0,0
1297,200,0,0,0
1298,200,0,0,0
1299,200,0,0,0
1300,200,0,0,0
1301,200,0,0,0
1302,200,0,0,0
1303,200,0,0,0
1304,200,0,0,0
1305,200,0,0,0
1306,200,0,0,0
1307,200,0,0,0
1308,200,0,0,0
1309,200,0,0,0
1310,200,0,0,0
1311,200,0,0,0
1312,200,0,0,0
1313,200,0,0,0
1314,200,0,0,0
1315,200,0,0,0
1316,200,0,0,0
1317,200,0,0,0
1318,200,0,0,0
1319,200,0,0,0
1320,200,0,0,0
1321,200,0,0,0
1322,200,0,0,0
1323,200,0,0,0
1324,200,0,0,0
1325,200,0,0,0
1326,200,0,0,0
1327,200,0,0,0
1328,200,0,0,0
1329,200,0,0,0
1330,200,0,0,0
1331,200,0,0,0
1332,200,0,0,0
1333,200,0,0,0
1334,200,0,0,0
1335,200,0,0,0
1336,200,0,0,0
1337,200,0,0,0
1338,200,0,0,0
1339,200,0,0,0
1340,200,0,0,0
1341,200,0,0,0
1342,200,0,0,0
1343,200,0,0,0
1344,200,0,0,0
1345,200,0,0,0
1346,200,0,0,0
1347,200,0,0,0
1348,200,0,0,0
1349,200,0,0,0
1350,200,0,0,0
1351,200,0,0,0
1352,200,0,0,0
1353,200,0,0,0
1354,200,0,0,0
